Subregion,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Western Europe,France,1.8,1.7,1.9,1.6,1.6,1.6,1.4,1.6,1.6,1.3,1.3,1.4,1.2,1.2,1.2,1.6,1.4
Western Europe,Germany,1.2,1.1,1.2,1.1,1.1,1.1,1,0.9,0.9,1,1,0.9,0.8,0.8,0.9,0.8,1.2
Western Europe,Liechtenstein, -   , -   , -   , -   ,2.9, -   , -   , -   ,2.8, -   ,2.8, -   , -   , -   ,2.7, -   , -   
Western Europe,Luxembourg,0.9,2,1.4,0.7,0.4,0.9,1.5,1.5,1.6,1,2,0.8, -   ,0.2,0.7,,
Western Europe,Monaco,,3.1,,,3,3,2.9, -   , -   , -   , -   , -   , -   , -   ,, -   ,
Western Europe,Netherlands,1.1,1.3,1.2,1.2,1.2,1.1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.6,0.6
Western Europe,Switzerland,1,1.2,1.2,1,1.1,1,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.5,0.7,0.5
Australia and New Zealand,Australia,1.9,1.8,1.9,1.7,1.5,1.3,1.4,1.2,1.2,1.2,1,1.1,1.1,1.1,1,1,0.9
Australia and New Zealand,New Zealand,1.3,1.3,1.5,1.1,1.1,1.5,1.2,1.1,1.2,1.5,1,0.9,0.9,1,1,,
Melanesia,Fiji,,,,3.1,2.8,2.8,2.7,2.5,2,3.4,2.3,2.3,2.3,2.2,2.3,,
Melanesia,New Caledonia,,,,,,,3.4,5,4.5,3.2,,,,,,,
Melanesia,Papua New Guinea,8.3,,,,,,9.4,7.8,,,,,,,,,
Melanesia,Solomon Islands,,,,,4.4,5.5,4.8,5.3,3.8,,,,,,,,
Melanesia,Vanuatu,2.9,,,,,2.5,,,,,2.3,,,,,2.1,
Micronesia,Guam,1.3,5.1,1.3,5.1,5.7,4.4,6.9,0.6,0.6,3.1,1.9,2.5,,,,,
Micronesia,Kiribati,3.6,4.7,,,,,,,7.1,1,3.9,10.5,7.5,,,,
